ingrediente,preco_anterior,preco_atual,variacao_preco,fornecedor,categoria,data_atualizacao,data_registro
Ingrediente_2bb1ee80,R$ 14.60,R$ 29.75,+103.8%,Supermercado Canesin,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_2bb1ee80,R$ 29.75,R$ 26.60,-10.6%,Supermercado Canesin,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_7b5533be,R$ 7.35,R$ 13.41,+82.4%,Supermercado Canesin,Temperos E Condimentos,01/04/2025,13/06/2025
Ingrediente_de8192fb,R$ 15.65,R$ 19.90,+27.2%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_de8192fb,R$ 19.90,R$ 16.98,-14.7%,Supermercado Canesin,Carnes E Derivados,02/05/2025,13/06/2025
Ingrediente_de819306,R$ 9.85,R$ 15.90,+61.4%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_9f0fe62a,R$ 28.51,R$ 29.99,+5.2%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_b28977ee,R$ 16.99,R$ 28.90,+70.1%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_b28d479c,R$ 0.00,R$ 17.89,+100%,Supermercado Canesin,Pães E Bolos,02/05/2025,13/06/2025
Ingrediente_ffa1742f,R$ 3.50,R$ 2.99,-14.6%,Supermercado Canesin,Verduras E Hortaliças,02/05/2025,13/06/2025
Ingrediente_9142bf12,R$ 0.00,R$ 2.99,+100%,Supermercado Canesin,Cereais E Derivados,02/05/2025,13/06/2025
Ingrediente_b28d644b,N/A,R$ 13.80,+100%,Supermercado Canesin,Cereais E Derivados,02/05/2025,13/06/2025
Ingrediente_b28d47a6,R$ 0.00,R$ 6.90,+100%,Supermercado Canesin,Verduras E Hortaliças,03/06/2025,13/06/2025
Ingrediente_6783bfca,R$ 0.00,R$ 13.98,+100%,Supermercado Canesin,Temperos E Condimentos,03/06/2025,13/06/2025
Ingrediente_9f0fe65b,R$ 0.00,R$ 299.50,+100%,Supermercado Canesin,Temperos E Condimentos,03/06/2025,13/06/2025
Ingrediente_b28d6495,N/A,R$ 22.70,+100%,Supermercado Canesin,Bebidas,03/06/2025,13/06/2025
Ingrediente_7b5533d4,R$ 0.00,R$ 7.18,+100%,Supermercado Canesin,Cereais E Derivados,03/06/2025,13/06/2025
Ingrediente_ffa17447,R$ 6.06,R$ 23.90,+294.4%,Supermercado Canesin,Cereais E Derivados,03/06/2025,13/06/2025
Ingrediente_9142c798,N/A,R$ 2.10,+100%,Tenda Atacado,Produtos De Limpeza,11/06/2025,13/06/2025
Ingrediente_b28d4731,R$ 4.80,R$ 4.67,-2.7%,Arf Comercio De Cereais,Cereais E Derivados,09/06/2025,13/06/2025
Ingrediente_7b5533c7,R$ 6.50,R$ 6.17,-5.1%,Arf Comercio De Cereais,Cereais E Derivados,09/06/2025,13/06/2025
Ingrediente_b28d4738,R$ 29.37,R$ 32.55,+10.8%,Nova Mega G Atacadista De Alimentos,Temperos E Condimentos,11/06/2025,13/06/2025
